information_gain,split_point,feature_idx,Num_trees,Num_features,Accuracy
0.10642677064248363,14.21,1,1,1,0.3488372093023256
0.11628963928284974,0.05,5,1,3,0.5116279069767442
0.08579206185964172,10.06,6,1,7,0.2558139534883721
0.21978372126055373,1.37,3,1,13,0.4186046511627907
0.21849161095356318,2.76,2,10,1,0.5116279069767442
0.3253113261935352,1.4,3,10,1,0.5116279069767442
0.09018661562742125,14.21,1,10,1,0.5116279069767442
0.10171158910720413,0.08,5,10,1,0.5116279069767442
0.08426925494930737,0.08,5,10,1,0.5116279069767442
0.16006095661444464,1.51711,0,10,1,0.5116279069767442
0.09642195401270148,0.0,5,10,1,0.5116279069767442
0.14907930377644385,1.51709,0,10,1,0.5116279069767442
0.08147702155214731,12.88,1,10,1,0.5116279069767442
0.17874637865644494,1.51711,0,10,1,0.5116279069767442
0.2697614489843255,3.34,2,10,3,0.5581395348837209
0.11791900134572575,0.0,5,10,3,0.5581395348837209
0.255829793400316,3.34,2,10,3,0.5581395348837209
0.09057708947126564,1.51709,0,10,3,0.5581395348837209
0.13402651686005607,1.51711,0,10,3,0.5581395348837209
0.3141352584440474,1.4,3,10,3,0.5581395348837209
0.264268145770827,1.38,3,10,3,0.5581395348837209
0.13605731238801136,0.64,5,10,3,0.5581395348837209
0.22226168601635798,2.85,2,10,3,0.5581395348837209
0.2521914627586306,3.25,2,10,3,0.5581395348837209
0.11502642909675154,8.34,6,10,7,0.32558139534883723
0.12415143502399395,1.51711,0,10,7,0.32558139534883723
0.08746657712148587,10.17,6,10,7,0.32558139534883723
0.2042220234370778,1.38,3,10,7,0.32558139534883723
0.09851744338376989,0.0,5,10,7,0.32558139534883723
0.30489127669527105,3.25,2,10,7,0.32558139534883723
0.21283364160153895,2.76,2,10,7,0.32558139534883723
0.11826952869086071,0.11,7,10,7,0.32558139534883723
0.2570488165120277,1.4,3,10,7,0.32558139534883723
0.13829745454099784,0.08,5,10,7,0.32558139534883723
0.30089408845713994,1.37,3,10,13,0.3488372093023256
0.208324392739479,1.51732,0,10,13,0.3488372093023256
0.21585947312511689,2.76,2,10,13,0.3488372093023256
0.16596047589852458,1.51709,0,10,13,0.3488372093023256
0.09579157564970442,14.36,1,10,13,0.3488372093023256
0.2211018673750489,3.34,2,10,13,0.3488372093023256
0.22844573713604144,2.76,2,10,13,0.3488372093023256
0.22954385845478287,3.44,2,10,13,0.3488372093023256
0.10353900084850343,1.5174299999999998,0,10,13,0.3488372093023256
0.22880945144647236,2.41,2,10,13,0.3488372093023256
0.09316963374503995,10.06,6,25,1,0.4883720930232558
0.19577483900866766,2.85,2,25,1,0.4883720930232558
0.18705600071238693,2.76,2,25,1,0.4883720930232558
0.21189166817474495,1.4,3,25,1,0.4883720930232558
0.17091783237531571,1.37,3,25,1,0.4883720930232558
0.1894824098925922,1.4,3,25,1,0.4883720930232558
0.2353911238501567,3.25,2,25,1,0.4883720930232558
0.1487130909261598,1.38,3,25,1,0.4883720930232558
0.23014963290294532,1.38,3,25,1,0.4883720930232558
0.07299559725439797,0.08,5,25,1,0.4883720930232558
0.256768708149824,3.41,2,25,1,0.4883720930232558
0.2089605636994779,1.4,3,25,1,0.4883720930232558
0.09408690426654609,0.0,5,25,1,0.4883720930232558
0.33900788654834196,1.4,3,25,1,0.4883720930232558
0.28802304260858247,3.2,2,25,1,0.4883720930232558
0.30556165609195746,1.37,3,25,1,0.4883720930232558
0.17347714053939267,1.51711,0,25,1,0.4883720930232558
0.152695574894527,1.51711,0,25,1,0.4883720930232558
0.18714835563274423,2.76,2,25,1,0.4883720930232558
0.2504448101781811,2.85,2,25,1,0.4883720930232558
0.24562834702461644,2.72,2,25,1,0.4883720930232558
0.10558564108533908,1.51732,0,25,1,0.4883720930232558
0.24493354838203907,2.76,2,25,1,0.4883720930232558
0.09590401098516776,1.51732,0,25,1,0.4883720930232558
0.25155515930619554,2.72,2,25,1,0.4883720930232558
0.2449130820494643,1.4,3,25,3,0.5581395348837209
0.24901697112808038,1.38,3,25,3,0.5581395348837209
0.17802422406512652,1.51709,0,25,3,0.5581395348837209
0.1658353249860296,1.51711,0,25,3,0.5581395348837209
0.16064991721363475,1.51709,0,25,3,0.5581395348837209
0.11740622998833883,0.08,5,25,3,0.5581395348837209
0.2637071958356787,1.4,3,25,3,0.5581395348837209
0.1632592761622862,1.51711,0,25,3,0.5581395348837209
0.06750496670172368,14.36,1,25,3,0.5581395348837209
0.1424268495712584,10.06,6,25,3,0.5581395348837209
0.06093734670744222,14.36,1,25,3,0.5581395348837209
0.2279364613646241,2.72,2,25,3,0.5581395348837209
0.037458297753850345,10.17,6,25,3,0.5581395348837209
0.07312808394814363,10.06,6,25,3,0.5581395348837209
0.09151208218496465,1.51711,0,25,3,0.5581395348837209
0.1607801048175699,1.37,3,25,3,0.5581395348837209
0.2584717061802315,3.33,2,25,3,0.5581395348837209
0.25625612115047447,3.41,2,25,3,0.5581395348837209
0.20813275945868104,2.72,2,25,3,0.5581395348837209
0.3269203909068033,1.4,3,25,3,0.5581395348837209
0.24061266612444,1.38,3,25,3,0.5581395348837209
0.12115987083178781,1.5173,0,25,3,0.5581395348837209
0.24434383299140283,2.76,2,25,3,0.5581395348837209
0.21586979880484436,3.34,2,25,3,0.5581395348837209
0.18201960951635954,3.2,2,25,3,0.5581395348837209
0.10735706514063492,0.05,5,25,7,0.4186046511627907
0.238978040697837,1.49,3,25,7,0.4186046511627907
0.19371917762954488,1.38,3,25,7,0.4186046511627907
0.25454124201161304,1.4,3,25,7,0.4186046511627907
